char,male,female
英,2129955,38849711
秀,2050069,29968210
兰,652920,24861769
玉,9692197,24546985
丽,359797,20528424
梅,263700,20222859
珍,861433,18385273
华,17364822,17898572
芳,1621795,17846355
红,5428392,16245963
凤,1899398,16170557
桂,2561248,15588785
小,7088341,14117462
艳,1084458,13871250
玲,316115,13554732
春,8840099,13237704
霞,117762,13143345
云,7039237,12796808
香,492305,12282149
美,948017,12273055
花,93101,11919454
淑,218984,11393410
金,11246818,10908356
荣,8365962,10872422
娟,20518,9913259
晓,4649343,9694009
琴,112856,9583624
燕,658249,9408487
文,20233017,9234528
芬,169957,9044552
爱,1443486,8347869
平,11506827,8155650
萍,163805,8084222
雪,1207580,7568874
菊,129492,7544272
翠,77218,7421584
敏,2069644,7372862
素,163900,7101852
莲,59543,6951917
明,22039064,6200273
芝,440819,6144980
海,13454516,6106893
连,2470338,5909622
月,1014146,5762995
清,6065189,5674373
琼,203950,5542765
静,546798,5487469
秋,1541636,5325241
婷,16026,5187669
慧,591876,5187528
芹,141990,5101147
亚,2719227,5042255
彩,321983,4929244
娥,14836,4833231
妹,67224,4641222
永,12090324,4297884
会,1678635,4164143
利,3811732,4106736
瑞,3447610,4040395
娜,12873,3982167
建,15013980,3958240
青,2677163,3849498
国,18301106,3807903
新,8105146,3786627
林,13365978,3780381
群,1317926,3771495
志,15003624,3755448
佳,2485494,3737626
惠,731364,3644875
丹,303899,3630777
俊,7393545,3608928
莉,29232,3514089
君,2283288,3168083
德,11382591,3034488
仙,115317,3024966
容,167200,3005572
冬,1401055,2940441
杰,8469509,2801490
巧,117676,2745085
银,2431020,2674100
欣,757851,2655500
学,6969403,2640010
雨,1478440,2570260
洪,6677683,2535634
梦,514280,2534796
碧,222613,2524623
庆,6727267,2523574
风,771131,2518815
立,5197258,2420716
洁,288021,2392238
书,2289071,2376852
伟,12462887,2321665
娣,22018,2319260
雅,152841,2258483
娇,27115,2223329
侠,73750,2220719
思,1552324,2205170
兴,7743425,2166399
宝,5172285,2127202
蓉,20764,2112103
先,2575618,2099083
倩,29448,2046375
光,7346787,2043014
珠,337870,2035576
元,5422759,2014584
贵,5655959,2012714
成,11279627,2009329
颖,280659,1996886
琳,267125,1981816
正,5303172,1970228
世,5020341,1952886
怡,195661,1934409
枝,190203,1930836
莹,74008,1925270
辉,7771469,1868900
子,3351610,1850913
福,7617439,1830935
飞,5213572,1743649
贤,2340217,1701576
勤,1011453,1693111
宇,4981612,1649683
家,4834744,1637931
媛,4299,1603373
树,3643426,1597134
晶,262194,1595958
双,1548661,1588049
妮,21468,1585779
喜,3314498,1563779
如,1228911,1543060
长,5015722,1536700
少,1964904,1533971
东,8220212,1528281
水,1932983,1509759
琪,624970,1507215
彦,1858312,1503650
茹,39755,1481962
军,15118344,1457745
桃,251263,1446518
大,3037725,1383096
雯,42575,1362152
维,2494055,1361860
友,4988374,1316508
姣,19107,1302030
方,1775954,1290319
宁,1500949,1266859
忠,8259176,1258169
顺,3793441,1256480
叶,268901,1254444
贞,291776,1253783
焕,884773,1208234
景,2064503,1205700
培,2099553,1181216
嘉,1427142,1175355
天,3898747,1165745
波,5517079,1119504
安,4610624,1114890
祥,8401216,1104209
朝,2802255,1103856
传,2614816,1102966
振,5751280,1099154
珊,69886,1084760
锦,1928092,1080715
瑶,151620,1075128
继,2487817,1074053
鑫,2872911,1069719
三,1010333,1069449
开,2396544,1053455
女,10515,1047638
楠,612305,1041097
运,1927058,1034629
广,4101481,1033730
良,6237726,1020847
宏,3417987,1012646
欢,571001,1007258
昌,4834799,996487
阳,3044027,987066
中,3988057,985978
真,379279,977567
改,71320,973131
泽,3707481,965341
坤,3314404,964709
悦,256868,957818
卫,2503962,934264
润,969991,925586
冰,444612,920261
佩,250435,915819
吉,2185444,908329
万,2939435,902106
启,2622619,894022
仁,3270504,892925
远,2735939,892280
灵,338141,891600
绍,2211957,886902
义,4626326,884269
宗,2485646,848471
璐,118184,847697
旭,2786547,843773
有,3206397,841086
满,792691,839757
超,5289288,838488
二,736402,835214
保,3517598,832890
心,562865,829995
诗,456531,817526
晨,1136672,815879
柳,186917,805452
菲,61661,803923
竹,161014,793998
凡,1249979,792564
晴,61431,791380
露,156231,783038
环,137532,781894
蕊,20787,776641
星,2005457,772556
士,1767120,772467
妍,4229,771690
胜,4863900,771352
乐,1655955,765259
虹,111915,756124
